cleaned_text,text_cleaned,sentiment_label,sentiment_score
food waste saattttttt,food waste saattttttt,LABEL_3,0.26031118631362915
ok gas ok gas ok gas,gas gas gas,LABEL_3,0.25814613699913025
stopmbg,stopmbg,LABEL_3,0.27009260654449463
program yg dipaksakan pasti ujung²nya bermasalah,program paksa ujung nya masalah,LABEL_4,0.26005351543426514
jangan gitu ntr dimarahin sma om botak yg skr udh jadi staff khusus,jangan gitu ntr dimarahin sma om botak skr udh jadi staff khusus,LABEL_4,0.30168887972831726
kata ternak mulyono perbanyak bersyukur,kata ternak mulyono banyak syukur,LABEL_1,0.27699947357177734
suruh deddy co buzzer makan nya,suruh deddy co buzzer makan nya,LABEL_4,0.2757777273654938
pantesan anies kasih angka dari,pantesan anies kasih angka,LABEL_4,0.2421116828918457
takut adeknya dikatain anak abah,takut adeknya dikatain anak abah,LABEL_4,0.2543931007385254
hati hati dedi corbuzier ngamok,hati hati dedi corbuzier ngamok,LABEL_4,0.2866489589214325
itu faktajangan terbiasa mencari pembenaranmencari kambing hitam fakta ya fakta meskipun pahit harus diterima,faktajangan biasa cari pembenaranmencari kambing hitam fakta fakta meski pahit terima,LABEL_4,0.2864815294742584
uji ulang pemberian makan siang gratis lebih baik sekolah gratis daripada makan siang gratis,uji ulang beri makan siang gratis lebih baik sekolah gratis makan siang gratis,LABEL_4,0.2780180871486664
pertamax aja bisa dioplos apalagi mbg ingat yaa bray yg ada kementrian aja bisa dikorup apalagi yang gak ada badan pengawasannyainilah konoha sesungguhnya,pertamax aja oplos mbg ingat yaa bray tri aja korup badan pengawasannyainilah konoha sungguh,LABEL_4,0.2978925108909607
mending pendidikan gratis masih ada di daerah negeri berbayar coba deh cek kota kalian,mending didik gratis daerah negeri bayar coba deh cek kota kalian,LABEL_4,0.2777160704135895
buang buang uang negara makan g gratis bikin masalah,buang buang uang negara makan g gratis bikin masalah,LABEL_4,0.29607445001602173
soalnya masaknya dini hari mngkin masih panas lgsung ditutup jadi basi mmg resiko nya bgtu program prematur yg dibanggakan,soal masak dini hari mngkin panas lgsung tutup jadi basi mmg resiko nya bgtu program prematur bangga,LABEL_4,0.2733491361141205
lah kan mbg stands for makanan basi dan gaenak itu program tujuan utamanya buat korupsi,lah kan mbg stands for makan basi gaenak program tuju utama buat korupsi,LABEL_4,0.2652796804904938
awas dedi corbuzzer liat,awas dedi corbuzzer liat,LABEL_4,0.24372820556163788
tolong ini deddy corbuzier yg abis ngata ngatain anak sd dikasih,deddy corbuzier abis ngata ngatain anak sd kasih,LABEL_4,0.22356931865215302
kasih azka coba,kasih azka coba,LABEL_4,0.24624723196029663
banyak seperti pemerintahan sekarang gak terima di kritik padahal tujuan ya untuk memperbaiki bukan baperan,banyak perintah sekarang terima kritik padahal tuju baik bukan baperan,LABEL_4,0.30031701922416687
jelas hambar karena dr atas dananya dipangkas,jelas hambar dr atas dana pangkas,LABEL_4,0.265605092048645
program prabowo paling mustahil di jalankan tp banyak yg percaya sewaktu kampanye,program prabowo paling mustahil jalan tp banyak percaya waktu kampanye,LABEL_4,0.3082427382469177
please hentikan program iniganti blt siswa sajakalo gak mau pilih pendidikan gratis,please henti program iniganti blt siswa sajakalo mau pilih didik gratis,LABEL_4,0.3146570324897766
assu_dahlah hentikan saja itu program mbg pak presiden anak² kami lebih mbutuhkan pendidikan gratis daripada makan siang gratis,assu dah henti program mbg pak presiden anak lebih mbutuhkan didik gratis makan siang gratis,LABEL_4,0.3223646581172943
kalo jujur sebetulnya hampir semua seperti itu kadang kadang diliput anak anak takut menyampaikan apa adanya seolah olah disetting supaya melaporkan baik baik saja,kalo jujur hampir semua kadang kadang liput anak anak takut sampai apa ada olah disetting lapor baik baik,LABEL_4,0.26797643303871155
nasi siang gratis rasa ternak mulyono,nasi siang gratis rasa ternak mulyono,LABEL_4,0.27882060408592224
hapus saja makan gratis ganti dengan sekolah gratis,hapus makan gratis ganti sekolah gratis,LABEL_4,0.25811272859573364
program unggulan kebanggaan kaum,program unggul bangga kaum,LABEL_3,0.2632201313972473
kembalikan ke orang tuanya untuk memberi makan siang tugas negara memberikan pekerjaan kpd orang tuanya,kembali orang tua beri makan siang tugas negara beri kerja kpd orang tua,LABEL_4,0.35295945405960083
ini kalau ga bnr dipantau bukan memberi gizi malah membunuh secara perlahan jadinya,kalau bnr pantau bukan beri gizi malah bunuh perlahan jadi,LABEL_4,0.2966918349266052
ganti sama pendidikan gratis,ganti sama didik gratis,LABEL_4,0.260382741689682
salah prabowo dan jokowi,salah prabowo jokowi,LABEL_1,0.22959566116333008
kalo di keritik di bilangan anak abah,kalo keritik bilang anak abah,LABEL_1,0.25571998953819275
ini adalah fakta lapanganmakanan bergizi tapi tidak sesuai kenapa masih ada yg bilang untuk menjatuhkan program presiden kritik itu untuk membangun kenapa tidak suka,fakta lapanganmakanan gizi sesuai bilang jatuh program presiden kritik bangun suka,LABEL_4,0.2745172083377838
kalau gak diawasin bener bener yah jadi ladang korup,kalau diawasin bener bener yah jadi ladang korup,LABEL_4,0.27212440967559814
katanya bergizi nyatanya bikin penyakit,kata gizi nyata bikin sakit,LABEL_4,0.2470795065164566
mending sekolah gratis smpe sma untk seluruh indonesia,mending sekolah gratis smpe sma untk seluruh indonesia,LABEL_4,0.3071539103984833
banyak buzzer mulyono disini cuman anak kecil itu gak pandai berbohong kayak buzzer,banyak buzzer mulyono sini cuman anak kecil pandai bohong kayak buzzer,LABEL_4,0.2758907973766327
stop makan gratis jdikan pendidikan gratis,stop makan gratis jdikan didik gratis,LABEL_4,0.30051493644714355
di malaysia makan gratis di sedia untuk anak di keluarga pendapatan rm sebulan atau rupiah juta ke bawah makanan di sediakan dikantin dengan menu yg di luluskan oleh kementerian kesihatan,malaysia makan gratis sedia anak keluarga dapat rm bulan rupiah juta bawah makan sedia kantin menu lulus menteri kesihatan,LABEL_4,0.31013327836990356
hati hati dek nanti disuruh bersyukur,hati hati dek suruh syukur,LABEL_4,0.2478756606578827
ubur ubur ikan lele rakyat g butuh makan gratis le,ubur ubur ikan lele rakyat g butuh makan gratis le,LABEL_4,0.2562265396118164
bpk prabowo yg terhormat lihat ini program yg bpk unggulkan mbggimana ini bos,bpk prabowo hormat lihat program bpk unggul mbggimana bos,LABEL_4,0.3154931962490082
ora efektif blasnguwak anggaran tok,ora efektif blasnguwak anggar tok,LABEL_4,0.2895902395248413
kasih kerjaan bapak nya biar bapaknya yg ngasih makan anak² nya orangtuanya tau persis dan ga mungkin ngasih makanan basi,kasih kerja bapak nya biar bapak ngasih makan anak nya orangtuanya tau persis mungkin ngasih makan basi,LABEL_4,0.2808419167995453
makan urusan org tuanya,makan urus org tua,LABEL_4,0.24863910675048828
program tdk ada mampaatkalo pak omon pintar bikin prgram sekolah gratis dan sembako murah lapangan kerja di perbanyak,program tdk mampaatkalo pak omon pintar bikin prgram sekolah gratis sembako murah lapang kerja banyak,LABEL_4,0.2979060113430023
hentikan mbg mending dikasih emak nya biar bisa masak sesuka anaknya,henti mbg mending kasih emak nya biar masak suka anak,LABEL_4,0.25585347414016724
urusan makan anak biar lah jd urusan ibunya masing tugas negara kasihblapangan pekerjaan buat bapaknya saja g usah repot ngurus makan anak org,urus makan anak biar lah jd urus ibu masing tugas negara kasihblapangan kerja buat bapak g usah repot ngurus makan anak org,LABEL_4,0.3088394105434418
di kritik gak mau maunya benerrr ajaa kalo sdh kyk gini siapa yg bertanggung jawab itulah mikirnya makaaann makannnn makannnn aja sdh ada yg mikirin anak anak itu yaitu ortu nya,kritik mau mau benerrr ajaa kalo sdh kyk gin siapa tanggung jawab mikirnya makaaann makannnn makannnn aja sdh mikirin anak anak ortu nya,LABEL_4,0.3106039762496948
bukannya sibuk urus program pak pres malah sibuk bahas pilpres,bukan sibuk urus program pak pres malah sibuk bahas pilpres,LABEL_4,0.2873420715332031
stop saja program mbgkasih aja orang tuanya pekerjaannyabiar dapat kasih makan anaknya x seharidari program mbg semua cari untung sedangkan anak banyak yg jd korban,stop program mbgkasih aja orang tua pekerjaannyabiar kasih makan anak x seharidari program mbg semua cari untung anak banyak jd korban,LABEL_4,0.31594499945640564
negara yg sok tau keperluan anak,negara sok tau perlu anak,LABEL_4,0.2661736309528351
subsidinya gk main triliunan tpi hasil nya kaya gini klo gk efektif mending gak usah deh makan gratis gini buang anggaran,subsidi gk main triliun tpi hasil nya kaya gin klo gk efektif mending usah deh makan gratis gin buang anggar,LABEL_4,0.30743151903152466
awas ketemu om botak stafsus ntar dimarahi,awas ketemu om botak stafsus ntar marah,LABEL_4,0.2875601351261139
gak gak pemerintah ga boleh salah ini pasti ada yg salah yang pasti bukan pemerintah titik,perintah salah salah bukan perintah titik,LABEL_4,0.23664486408233643
kasih ke azka,kasih azka,LABEL_3,0.25310346484184265
ya allah semoga adik adik ya sehat ya,allah moga adik adik sehat,LABEL_4,0.2795636057853699
makan bergizi di luar negri itu di bkin kek prasmanan dapur nya di sekolah n ada pkrja khusus utk masak n memastikan kebersihan mknan pda saat pengambilan mknan jg ada petugas yg menakrnya,makan gizi luar negri bkin kek prasmanan dapur nya sekolah n pkrja khusus utk masak n pasti bersih mknan pda ambil mknan jg tugas menakrnya,LABEL_4,0.3123767673969269
kalo sudah begini siapa yg salah dan bertanggung jawab,kalo begini siapa salah tanggung jawab,LABEL_4,0.2679225504398346
periksa itu orang yg mengurus mbg bukan salah pemerintah tapi salah itu oknum yg tidak bertanggung jawab,periksa orang urus mbg bukan salah perintah salah oknum tanggung jawab,LABEL_4,0.32507821917533875
ok gas ok gas jogetin ajaaaa pemilih,gas gas jogetin ajaaaa pilih,LABEL_0,0.25405049324035645
itu yang menyajikan perlu ditinjau,saji perlu tinjau,LABEL_4,0.2496425211429596
program buang uang negara,program buang uang negara,LABEL_3,0.25159573554992676
lagian ngapain juga negara repot ngasi makan anak skolah kasi aja ibu bpk nya pekerjaan yg layak nanti jg anak nya di kasi makan terbaik oleh org tua nya,lagi ngapain negara repot ngasi makan anak skolah kasi aja ibu bpk nya kerja layak jg anak nya kasi makan baik org tua nya,LABEL_4,0.3075598180294037
sayang bgt terbuang sia sia jd mubajir,sayang bgt buang sia sia jd mubajir,LABEL_4,0.2833615839481354
kalau menurut saya sih harinya per sekola aja masak nya biar ga kewalahan masak nya jadi buru mubazir,kalau sih hari per kola aja masak nya biar kewalahan masak nya jadi buru mubazir,LABEL_4,0.2866170406341553
jarak kejauhan antara dapur ke sekolah satu dapur terlalu banyak masak nya porsi hingga rbmasak nya di mulai pukul dini hari hingga sampai kesolah dng rentang waktu sampai jam wajar basi,jarak jauh dapur sekolah satu dapur terlalu banyak masak nya porsi hingga rbmasak nya mulai pukul dini hari hingga solah dng rentang waktu jam wajar basi,LABEL_1,0.27101925015449524
pendidikan gratis ga akan basi,didik gratis basi,LABEL_3,0.2379978448152542
lbh baik skolah gratis drpd mbgmk ny wo mikir yg terbaik beri pekerjaan pd para orang tua murid yg rata² pengangguran atau krj serabutan,lbh baik skolah gratis drpd mbgmk ny wo mikir baik beri kerja pd orang tua murid rata anggur krj serabutan,LABEL_4,0.32180529832839966
gimana kalo seperti ini deddy corbuzier dan badan gizi nasional,gimana kalo deddy corbuzier badan gizi nasional,LABEL_4,0.23879356682300568
jgn gitu ya ntar dedy marah lo,jgn gitu ntar dedy marah lo,LABEL_4,0.28301170468330383
lebih penting pendidikan gratis makan siang gratis,lebih penting didik gratis makan siang gratis,LABEL_4,0.2537030279636383
dr tray nya aja plastik ity bukan mbg krn standart program mbg tray nya pake yg stainless,dr tray nya aja plastik ity bukan mbg krn standart program mbg tray nya pake stainless,LABEL_4,0.2830197215080261
sebaikmakanan buat anak adalah yg di buat oleh tangan ibunya,sebaikmakanan buat anak buat tangan ibu,LABEL_4,0.25236329436302185
isinya pembenci presiden semua,isi benci presiden semua,LABEL_4,0.2661321759223938
yang masak nya gimana itu pangil koki dari jawa sumatra yang masak,masak nya gimana pangil koki jawa sumatra masak,LABEL_4,0.24708011746406555
program gagal,program gagal,LABEL_3,0.24901321530342102
lbh baik turunkan harga sembako dan harga sandang pangan jd tiap klrga mampu kasi anak makaan bergizi walau menu sederhana stidakny mkn lauk sayur dan buah,lbh baik turun harga sembako harga sandang pangan jd tiap klrga mampu kasi anak maka gizi menu sederhana stidakny mkn lauk sayur buah,LABEL_4,0.32239070534706116
astagayayasan apa yg kasih makan,astagayayasan apa kasih makan,LABEL_3,0.22967445850372314
kebijakan menghamburkan anggaran sudahlah sdh kuduga,bijak hambur anggar sudah sdh duga,LABEL_4,0.24263162910938263
itu namanya yang bergizi,nama gizi,LABEL_3,0.26141512393951416
perlu diaudit kayak perusahaan jgn disalahin direkturnya bawahannya perlu dipantau ibarat didalam kolam hanya ada ikan kecil perlu dimasukkan ikan besar bahkan hiu biar bisa growup,perlu audit kayak usaha jgn disalahin direktur bawah perlu pantau ibarat dalam kolam ikan kecil perlu masuk ikan besar bahkan hiu biar growup,LABEL_4,0.3063550591468811
pantasan negara lain tergiur dgn makan siang gratis prabowo,pantas negara giur makan siang gratis prabowo,LABEL_0,0.2269834727048874
kasih dedi makan,kasih dedi makan,LABEL_3,0.2443358600139618
perlu dikaji ulang,perlu kaji ulang,LABEL_4,0.25075647234916687
pelaksanaan ok tpi kenyataan ya nol dalam kebersihannya,laksana tpi nyata nol bersih,LABEL_4,0.249904066324234
bagus nya sih menu lebih kearah yg tahan lama roti susu atau sayuran juga banyklah yg tahan lama,bagus nya sih menu lebih arah tahan lama roti susu sayur banyklah tahan lama,LABEL_4,0.2822935879230499
bukan kurang matang tapi emang di kasihnya ayam busuk kalii wkwk kasian amat anak anak nya,bukan kurang matang emang kasih ayam busuk kali wkwk kasi anak anak nya,LABEL_4,0.2882157862186432
pengawasan suplayer harus penting,awas suplayer penting,LABEL_4,0.25283223390579224
makanya tak usah makanan gratislebih baik pendidikan gratis,makanya tak usah makan gratislebih baik didik gratis,LABEL_4,0.26281633973121643
program membodohi rakyatdan berpeluang korupsi berjemaah,program bodoh rakyatdan peluang korupsi jemaah,LABEL_4,0.25098150968551636
suruh makan cahyadi saja,suruh makan cahyadi,LABEL_3,0.26699382066726685
skolah gratis,skolah gratis,LABEL_3,0.28250911831855774
bijaksananya berikan saja uang makan gratis setiap bulannya kepada orang masing² murid spy keluarga yang ngatur sendiri saja makanan berguzi buat anak² mereka,bijaksana ikan uang makan gratis bulan orang masing murid spy keluarga ngatur sendiri makan berguzi buat anak,LABEL_4,0.30017635226249695
