cid,replyToCid,type,publishedTimeText,comment,author,authorIsChannelOwner,replyCount,voteCount,hasCreatorHeart,videoId,pageUrl,commentsCount,title
UgwPYdiPZH4DWAeyHFJ4AaABAg,,comment,1 month ago,✊ Jadi pendukung kerja jurnalistik investigasi Tempo dengan berlangganan Tempo Plus. Klik di sini 👉 https://s.id/enakdibaca,@TempoVideoChannel,TRUE,51,978,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
Ugz9taiLa5m5dpk40kV4AaABAg,,comment,1 day ago,"Menyiapkan dapur, menyiapkan sanitasi, menyiapkan team ahli gizi,  membentuk badan hukum pt,cv, menyiapkan kendaraan angkut, blm supply kebutuhan makan, dananya disuntik trs kaburr",@rpropertychanel3760,FALSE,0,0,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
Ugym0_upPCCAXEZd0ol4AaABAg,,comment,1 day ago,Revolusi,@rpropertychanel3760,FALSE,0,0,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgypPMXRUHRfHSDgMit4AaABAg,,comment,2 days ago,Turun presiden omom,@NurjanahNurjanah-gs2yo,FALSE,0,0,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgxYqpzJrEJxY_mhGVl4AaABAg,,comment,7 days ago,"Sehat2 para jurnalis Tempo. MBG diberhentikan saja, anaknya makan bapaknya di PHK. Sahkan saja UU Perampasan aset para koruptor yg memiskinkan negara.",@mawarraja,FALSE,0,0,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgxlfYD7wv3CqdGzucd4AaABAg,,comment,9 days ago,Awas diserang buzzerRp di komentar 😂,@as.september1996,FALSE,0,1,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgxOaK3MBdh7SnYBzEZ4AaABAg,,comment,13 days ago,Berita baiknya dari Jepang bukan dari KONOHA 😂,@SalmanSalman-pz5go,FALSE,0,0,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgyWJWEC-iDPfC7Q-UR4AaABAg,,comment,13 days ago,"Nepotismae sangat kental di dalamnya jadi namanya Proyek Makan Buat Garong dari uang Negara, .
Tenang saja Pak Prabowo SAYA SUDAH DI SINI teriak si Samsul yang begitu lantang",@isnaeniyeti1520,FALSE,0,0,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwvzAaEk_vZl90E3Jt4AaABAg,,comment,2 weeks ago,"Kenyataannya banyak phk,anak2 juga ada yg keracunan mbg,ada yg makanannya gk di mskan,yg di buang dll.😂",@heryatiheryati9678,FALSE,0,0,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgzMsvEEI_L3GCBQpn54AaABAg,,comment,2 weeks ago,"Kalo waras mendingan  orang tuanya yg nganggur dikasih kerjaan dengan gaji yg memadai untuk menghidupi keluarganya.Anaknya dikasih makan siang gratis,tapi orang tuanya banyak di phk.Gimana sih?",@heryatiheryati9678,FALSE,0,0,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
